Name,URL,Price
LTG09 Egg Master Vertical Grill (Blue),//www.lazada.com.ph/products/ltg09-egg-master-vertical-grill-blue-i5553436-s7020713.html?search=1,₱699.00
"S-Hande ""Egg"" Wireless Remote Controlled Vibrator w/ Rechargeable Li-ion Battery (Black)",//www.lazada.com.ph/products/s-hande-egg-wireless-remote-controlled-vibrator-w-rechargeable-li-ion-battery-black-i124440988-s129974142.html?search=1,"₱1,249.00"
USB Rechargeable Waterproof Vibration Egg 36 Frequency Conversion Adult Sensual Toys JA26,//www.lazada.com.ph/products/usb-rechargeable-waterproof-vibration-egg-36-frequency-conversion-adult-sensual-toys-ja26-i161802834-s197945177.html?search=1,₱585.00
"S-Hande ""Emily"" Wireless Remote Controlled Egg Vibrator (Pink)",//www.lazada.com.ph/products/s-hande-emily-wireless-remote-controlled-egg-vibrator-pink-i111253758-s113302446.html?search=1,₱999.00
Easy Ona Cap Classic Tenga Egg Sex Toy Set of 6,//www.lazada.com.ph/products/easy-ona-cap-classic-tenga-egg-sex-toy-set-of-6-i141830894-s161565954.html?search=1,₱950.00
Midoko Elegant 10-Speed USB Charging Waterproof Vibrating Egg Sex Toy,//www.lazada.com.ph/products/midoko-elegant-10-speed-usb-charging-waterproof-vibrating-egg-sex-toy-i157121405-s250795270.html?search=1,₱622.00
USB Dual Vibration Eggs Strong Vibration Stick Adult Sex Supplies Sex Toys(Purple)A44008,//www.lazada.com.ph/products/usb-dual-vibration-eggs-strong-vibration-stick-adult-sex-supplies-sex-toyspurplea44008-i122638417-s127712889.html?search=1,₱398.00
" Egg Master Vertical Grill with Self Stirring Mug (Yellow) Bundle",//www.lazada.com.ph/products/egg-master-vertical-grill-with-self-stirring-mug-yellow-bundle-i102032011-s102260137.html?search=1,₱498.00
Jumping eggs,//www.lazada.com.ph/products/jumping-eggs-i157842001-s191579901.html?search=1,₱120.00
As Seen on TV Egg Master Omelette Maker (White/Black),//www.lazada.com.ph/products/as-seen-on-tv-egg-master-omelette-maker-whiteblack-i118738902-s123223834.html?search=1,₱548.00
Single Jump Egg Vibrator Sensual Toy,//www.lazada.com.ph/products/single-jump-egg-vibrator-sensual-toy-i207519632-s262780571.html?search=1,₱120.00
Midoko Waterproof Vibrating Egg Dildo Sensual Toy v2 Pink,//www.lazada.com.ph/products/midoko-waterproof-vibrating-egg-dildo-sensual-toy-v2-pink-i224956451-s297075552.html?search=1,₱198.00
Midoko Waterproof Vibrating Egg Dildo Sensual Toy v2 Pink,//www.lazada.com.ph/products/midoko-waterproof-vibrating-egg-dildo-sensual-toy-v2-pink-i224957221-s297076336.html?search=1,₱177.00
egg easy on cup sex toy sexual,//www.lazada.com.ph/products/egg-easy-on-cup-sex-toy-sexual-i157822229-s191533864.html?search=1,₱100.00
Wireless Remote Control Vibration Egg USB Charge Female Masturbation Supplies Waterproof Mute Adult Sex Sipplies Toys(Purple)RLE958,//www.lazada.com.ph/products/wireless-remote-control-vibration-egg-usb-charge-female-masturbation-supplies-waterproof-mute-adult-sex-sipplies-toyspurplerle958-i111326861-s113399055.html?search=1,₱777.00
"As Seen on TV Egg Rollie Maker (White/Black) ",//www.lazada.com.ph/products/as-seen-on-tv-egg-rollie-maker-whiteblack-i127929739-s137173178.html?search=1,₱490.00
Secret Corner Xuanai 20-Speed Waterproof Vibrating Egg Vibrator - Red,//www.lazada.com.ph/products/secret-corner-xuanai-20-speed-waterproof-vibrating-egg-vibrator-red-i215200936-s279324590.html?search=1,₱399.00
Cook Arts Cutting Egg Machine Egg Cutter Egg Slicer,//www.lazada.com.ph/products/cook-arts-cutting-egg-machine-egg-cutter-egg-slicer-i116053852-s120208102.html?search=1,₱249.00
Tenga Egg Masturbators ( LOVEONE ),//www.lazada.com.ph/products/tenga-egg-masturbators-loveone-i208014865-s264328183.html?search=1,₱120.00
Midoko Multi-speed MP3 Shape Wireless Remote Control Vibrating Egg Sex Toy Black,//www.lazada.com.ph/products/midoko-multi-speed-mp3-shape-wireless-remote-control-vibrating-egg-sex-toy-black-i156986235-s189779016.html?search=1,₱222.00
Sex Supplies Flirt Male Vibrator Sensual Toys Male And Female Sharing Vibration Ring Fun Waterproof Vibrating Stick USB Charge Adult Game Vibrating Egg(Pink)VV501,//www.lazada.com.ph/products/sex-supplies-flirt-male-vibrator-sensual-toys-male-and-female-sharing-vibration-ring-fun-waterproof-vibrating-stick-usb-charge-adult-game-vibrating-eggpinkvv501-i111324632-s113395485.html?search=1,₱458.00
LETEN Wireless Music Egg Vibrator,//www.lazada.com.ph/products/leten-wireless-music-egg-vibrator-i177756131-s223811574.html?search=1,"₱2,250.00"
